timestamp,type,message
2025-08-22,pagination_error,"HTTP 400 Bad Request.
• status: invalid_params
• message: Search Id 7541170077547238414 is invalid or expired
• log_id: 20250822000122415ED5EF3202AB2B2007"
2025-08-22,pagination_error,"HTTP 400 Bad Request.
• status: invalid_params
• message: Search Id 7541194430271951886 is invalid or expired
• log_id: 20250822000947C2DC4DA2AE43C6234B76"
