account_id,avg_time_delta,avg_edge_symmetry_score,unique_shares_count
1079tk,37.88194444444444,0.95,3
aed3345,54.69245337995338,0.9388888888888888,9
aed9t4,78.5,1,6
ainkbs,46.333333333333336,1,3
ali638819,62,0.8,3
bdl055747,45.375,1,4
coke0283,45.75,1,4
coke14426,40.75,1,4
coke8273,47,1,4
colliercarol3790,61.816885964912274,0.9209401709401709,9
dzu2bxozg0,56.64126559714796,1,9
farjanaminnaaklim,62.5625,1,6
frwfqu,47.36363636363637,1,7
gfdfdfffy,62,0.8,3
jfspet,46.333333333333336,1,3
savagin7193,68,1,3
tdy7axi1g1,57.75287766928634,0.9153846153846154,9
udpgmf,47.36363636363637,1,7
user25625221885547,49.166666666666664,1,3
user2608668166280,53.888888888888886,0.8,3
user4170090639617,49.111111111111114,1,3
user4230900338134,68,1,3
user54530411398470,44.27777777777777,1,3
user5744406172240,37,0.8,3
user6383781338061,44.77777777777777,1,3
user83761877821520,45.375,1,5
user8880676148236,51.861111111111114,1,3
user9242170771823,49.7962962962963,0.9333333333333332,3
vnfhvc2,46.625,1,6
xzcm22,35.73263888888889,0.9,3
yhn229992,25.444444444444443,0.9,3
yhn443334,21.166666666666664,0.8,3
yu1053tk,23.85185185185185,0.8666666666666667,3
yu1055tk,43.25,0.8500000000000001,3
yu1058tk,21.703703703703706,0.8666666666666667,3
yu1059tk,34.61574074074074,0.8666666666666667,3
yu1062tk,49.50347222222222,1,3
yu1063tk,21.703703703703706,0.9333333333333332,3
yu1065tk,23.111111111111114,0.8000000000000002,3
yu1067tk8686.com,19.833333333333332,0.8,3
yu1070tk,24.166666666666664,0.9,3
yu1071tk,46.625,1,3
yu1073tk,24.27777777777778,0.95,3
yu1074tk,41.05555555555556,1,3
yu1075tk,41.638888888888886,1,3
yu1076tk,17.166666666666668,0.9,3
yu1077tk,32.638888888888886,0.8500000000000001,3
yu1078tk,43.083333333333336,1,3
yu1080tk,19.22222222222222,0.8,3
yu108293b8w,48.920138888888886,0.9,3
yu1082tk,42.83333333333333,1,3
yu1083tk,35.77777777777778,0.8999999999999999,3
yu1084tk,47.55555555555556,1,3
yu1085tk,44.270833333333336,0.95,3
yu1086tk,15.38888888888889,0.9,3
yu1087tk,24.77777777777778,0.8,3
yu1089tk,22.58333333333333,1,3
yu1090tk,36.92708333333333,0.95,3
yu1091tk,41.833333333333336,1,3
yu1092tk,24.63888888888889,0.95,3
yu1093tk,24.416666666666664,0.95,3
yu1094tk,44.02777777777778,0.8999999999999999,3
zoe.8158,37,0.8,3
